Type,Lat,Long,Depth,Phi,Delta-a,Delta-b,Depth_err,Seconds,Time_err,12P,12P_EC,14P,14P_EC,15P,15P_EC,16P,16P_EC,12S,12S_EC,14S,14S_EC,15S,15S_EC,16S,16S_EC,Year,Month,Day,Hour,Minute,R,G,B,Latrad,Longrad,zpos,ypos,xps
A11,9.3,17.5,1200.0,-42,0.8,0.7,12,16.06,0.7,,,192.2,2.0,173.2,1.0,,0.0,329.3,0.0,319.8,0.0,299.4,0.0,296.4,0.0,1977,06,18,05,01,255,0,0,0.16231562043547265,0.30543261909900765,9.411810246799572,1.6160382110336113,-2.9675323719747118
A14,-28.7,-33.9,880.0,50,1.7,1.3,22,12.96,1.3,149.7,1.0,152.5,1.0,,,191.0,1.0,254.8,1.0,260.5,1.0,370.1,1.0,319.7,1.0,1973,05,28,18,53,118,137,0,-0.5009094953223726,-0.5916666164260777,7.280420916999111,-4.802234974431889,4.892239826670907
A16,6.8,5.1,1105.0,9,1.2,0.7,18,35.48,0.4,,,184.5,2.0,185.4,1.0,185.4,1.0,315.2,1.0,305.5,1.0,298.6,0.0,298.3,1.0,1972,10,81,52,4,214,41,0,0.11868238913561441,0.0890117918517108,9.890344226105812,1.1840396830650095,-0.8826897065575944
A17,23.1,-18.0,861.0,-47,2.6,0.4,15,7.94,0.6,143.0,0.0,141.9,1.0,133.3,2.0,178.0,1.0,246.2,1.0,243.9,1.0,228.9,0.0,,,1972,11,07,08,52,110,145,0,0.40317105721069013,-0.3141592653589793,8.748022288562037,3.9233711660356145,2.842404744638271
A18,18.6,34.7,882.0,-67,1.8,0.9,24,30.86,1.5,229.2,2.0,216.2,0.0,188.5,2.0,188.5,1.0,373.2,1.0,357.5,0.0,276.5,1.0,279.6,2.0,1973,01,05,22,50,119,136,0,0.3246312408709453,0.6056292504420324,7.792021505665576,3.1895930929807,-5.395451487730659
A20,21.7,-41.0,1055.0,-1,2.4,0.8,13,7.15,1.2,,,179.9,2.0,174.3,0.0,204.5,0.0,279.2,0.0,284.1,1.0,,,357.3,1.0,1972,05,15,17,18,193,62,0,0.3787364476827695,-0.7155849933176751,7.012252530337722,3.697467572738293,6.09565812684086
A24,-36.8,-38.9,980.0,57,2.1,1.7,32,38.54,0.3,196.7,1.0,198.0,1.0,,,,2.0,315.8,2.0,319.7,0.0,417.8,2.0,368.0,1.0,1977,06,12,18,17,161,94,0,-0.6422811647339133,-0.6789330790257941,6.231637032506996,-5.990235985155858,5.028297200567128
A25,34.4,59.3,898.0,87,2.0,1.7,26,7.55,1.8,241.3,2.0,242.1,1.0,179.2,0.0,200.7,,,,409.3,1.0,312.7,1.0,345.6,2.0,1977,06,09,20,15,126,129,0,0.6003932626860493,1.0349802464326374,4.212558530192536,5.649670034249379,-7.09475715819835
A27,22.5,18.5,1059.0,-24,1.9,1.4,14,51.54,1.3,,,236.1,2.0,193.4,0.0,205.9,2.0,366.0,2.0,352.3,1.0,299.9,0.0,338.9,2.0,1977,05,16,00,01,195,60,0,0.39269908169872414,0.32288591161895097,8.761368152412981,3.826834323650898,-2.93151277623191
A30,11.8,-34.3,921.0,-37,1.5,1.0,23,45.93,0.5,,,181.0,0.0,201.7,1.0,,1.0,273.3,1.0,283.4,1.0,321.4,1.0,365.2,1.0,1972,05,17,00,42,136,119,0,0.2059488517353309,-0.598647933434055,8.0864068039355,2.0449605184179034,5.5161727202271
A33,6.9,117.8,887.0,-9,1.5,1.3,30,46.79,1.1,369.9,2.0,349.1,0.0,318.0,0.0,311.8,,,,,,528.1,1.0,511.5,1.0,1972,10,11,19,35,121,134,0,0.12042771838760874,2.05599785884932,-4.630087613752346,1.201368388346471,-8.781742576758836
A34,7.0,-9.3,932.0,-32,1.2,0.6,26,27.24,2.6,154.9,1.0,158.1,1.0,164.4,1.0,,1.0,249.8,1.0,256.5,1.0,265.2,0.0,279.3,1.0,1972,06,14,18,34,141,114,0,0.12217304763960307,-0.16231562043547265,9.794998435448164,1.2186934340514748,1.6039925072667376
A40,-1.6,-10.9,886.0,-80,1.2,0.7,23,35.37,0.6,,,,,185.0,2.0,173.1,0.0,247.9,0.0,242.6,1.0,286.7,1.0,277.8,1.0,1973,06,27,23,48,121,134,0,-0.027925268031909273,-0.19024088846738194,9.815758617633703,-0.2792163872356888,1.8902171752073202
A41,13.9,-26.8,953.0,-28,5.6,2.2,84,24.7,3.5,,,163.4,2.0,172.4,2.0,,2.0,247.3,2.0,270.1,2.0,284.1,1.0,325.6,2.0,1972,06,08,16,16,150,105,0,0.2426007660272118,-0.4677482395344803,8.66447765194437,2.4022804247726373,4.376742599206718
A42,22.7,-53.5,1004.0,-53,1.8,1.4,24,35.84,2.2,195.8,1.0,205.6,0.0,229.9,2.0,245.6,1.0,318.9,1.0,331.9,1.0,352.5,1.0,418.0,1.0,1973,05,03,01,52,171,84,0,0.3961897402027128,-0.9337511498169663,5.487466772546227,3.859060423243186,7.415885723901038
A44,51.9,57.1,956.0,-74,5.8,1.9,20,4.66,1.3,,,235.4,1.0,177.6,1.0,,2.0,434.9,2.0,411.4,0.0,307.4,1.0,376.2,2.0,1974,05,19,03,09,151,104,0,0.905825881785057,0.9965830028887622,3.351581220794069,7.869350219613373,-5.1807557789854854
A50,9.4,-51.6,835.0,-13,2.4,1.5,30,26.01,3.7,174.2,2.0,174.2,1.0,,,,2.0,292.0,2.0,285.0,1.0,348.1,1.0,397.8,1.0,1973,04,30,01,05,99,156,0,0.16406094968746698,-0.9005898940290741,6.128071082665435,1.6332596224162228,7.73170148231193
A51,8.8,15.7,888.0,-28,1.1,0.5,22,27.4,1.2,,,181.2,2.0,149.0,2.0,,2.0,320.7,2.0,291.1,0.0,254.1,0.0,248.8,1.0,1974,02,18,08,35,122,133,0,0.15358897417550102,0.27401669256310973,9.513593064029942,1.5298583628403808,-2.6741504074544307
A97,-3.4,18.7,1000.0,-3,2.8,2.3,25,21.53,2.1,,,180.6,1.0,173.8,1.0,156.0,2.0,310.3,2.0,295.2,2.0,301.1,2.0,251.8,1.0,1977,05,19,06,08,170,85,0,-0.059341194567807204,0.32637657012293964,9.455430246648177,-0.5930637357596162,-3.200486565523693
